City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
365,Rurrenabaque,-14.4413,-67.5278,74.05,64,59,1.43,broken clouds
366,Poyarkovo,49.6,128.6833,73.18,80,100,4.88,overcast clouds
367,Lusambo,-4.9667,23.45,76.12,41,87,2.51,overcast clouds
368,Puerto Escondido,15.85,-97.0667,85.51,72,94,7.45,overcast clouds
369,Barcelos,41.5388,-8.6151,65.84,85,0,2.8,clear sky
370,Terre-De-Bas,15.8501,-61.6442,76.78,81,73,23.55,broken clouds
371,Ust-Kulom,61.6864,53.6902,50.74,65,71,4.21,broken clouds
372,Oranjestad,12.524,-70.027,82.35,78,40,20.71,scattered clouds
373,Arlit,18.7369,7.3853,89.85,26,32,9.55,scattered clouds
374,Kongolo,-5.3833,27.0,72.12,50,17,2.01,few clouds
